"How often do you come to any of the
 WCC mobile sites?"
[no answer]
weekly
weekly
weekly
<once per month
Bi-weekly
multiple times a week
weekly
[no answer]
weekly
weekly
[no answer]
monthly
monthly
weekly
weekly
weekly
weekly
weekly
monthly
weekly
[no answer]
<once per month
[no answer]
monthly
weekly
weekly
weekly
weekly
weekly
weekly
weekly
weekly
monthly
weekly
weekly
monthly
weekly
weekly
<once per month
[no answer]
weekly
weekly
[no answer]
weekly
[no answer]
weekly
weekly
<once per month
monthly
multiple times a week
weekly
monthly
weekly
weekly
weekly
[no answer]
weekly
[no answer]
monthly
weekly
weekly
[no answer]
weekly
weekly
[no answer]
monthly
weekly
weekly
monthly
weekly
monthly
weekly
<once per month
weekly
monthly
monthly
<once per month
<once per month
weekly
multiple times a week
monthly
monthly
[no answer]
[no answer]
[no answer]
weekly
weekly
weekly
monthly
[no answer]
[no answer]
monthly
other
monthly
<once per month
monthly
monthly
monthly
<once per month
weekly
monthly
monthly
[no answer]
<once per month
weekly
monthly
weekly
monthly
<once per month
monthly
monthly
monthly
weekly
weekly
[no answer]
monthly
weekly
monthly
monthly
monthly
monthly
monthly
monthly
weekly
<once per month
monthly
Bi-weekly
<once per month
monthly
monthly
<once per month
Bi-weekly
<once per month
other
monthly
monthly
weekly
monthly
[no answer]
[no answer]
monthly
monthly
weekly
